ip_address|cluster_label
5.252.23.211|3
86.110.230.88|7
45.95.11.99|3
192.168.119.52|3
45.95.11.172|6
86.110.229.212|1
192.168.119.227|3
86.110.229.199|7
185.48.249.18|4
46.229.227.13|7
192.168.119.5|3
45.95.11.148|3
46.229.232.193|6
93.184.72.240|3
93.184.66.179|5
46.229.227.6|7
93.184.72.235|3
192.168.119.2|3
46.229.238.162|6
86.110.232.132|1
86.110.232.59|6
93.184.73.150|7
46.229.237.95|4
81.89.63.54|7
185.66.200.173|4
5.252.23.217|8
185.66.200.78|3
2a01:390:1450:1:face:b00c:3333:792f|3
86.110.246.65|3
45.89.54.194|3
46.229.237.101|8
217.73.16.66|7
86.110.246.201|3
92.240.230.6|7
93.184.68.130|8
86.110.246.105|3
46.229.238.243|7
81.89.62.1|8
86.110.248.224|3
217.73.16.225|0
192.168.119.56|3
81.89.54.232|2
192.168.119.51|3
81.89.59.97|0
46.229.239.37|6
86.110.233.42|6
81.89.50.213|7
192.168.119.59|3
81.89.62.90|8
192.168.119.54|3
45.95.11.234|0
192.168.119.13|3
46.229.224.146|8
109.74.155.194|0
217.73.20.108|7
93.184.67.95|0
217.73.26.175|0
81.89.58.218|5
217.73.26.161|0
192.168.119.31|3
109.74.148.246|6
81.89.63.57|7
185.48.249.235|6
86.110.227.10|7
46.229.224.107|6
45.95.11.186|3
45.89.54.184|6
217.73.20.110|7
46.229.232.91|8
81.89.50.204|7
81.89.56.215|7
45.89.54.227|6
81.89.59.21|0
93.184.64.114|7
192.168.119.226|3
92.240.229.198|7
217.73.22.90|7
192.168.119.57|3
81.89.54.70|3
81.89.55.93|7
217.73.18.163|7
86.110.229.18|7
217.73.18.234|7
192.168.66.20|2
46.229.239.56|8
45.89.54.40|3
86.110.234.88|8
92.240.230.22|7
46.229.234.12|3
86.110.224.98|4
86.110.230.207|7
45.89.54.30|7
185.66.200.72|4
46.229.238.2|7
45.95.11.43|6
86.110.230.13|7
86.110.232.178|7
185.66.200.177|6
5.252.23.232|8
93.184.72.121|7
109.74.158.90|0
46.229.237.38|6
185.48.248.180|6
46.229.238.246|0
93.184.72.74|5
217.73.27.224|6
81.89.63.53|7
93.184.75.218|3
81.89.52.104|7
86.110.244.46|6
185.66.200.145|8
86.110.229.210|3
185.66.200.247|6
81.89.49.121|8
100.64.15.2|1
217.73.30.36|6
46.229.233.67|7
86.110.234.4|5
86.110.247.10|7
86.110.224.96|4
185.48.248.183|6
86.110.234.11|7
81.89.62.87|8
109.74.148.74|7
46.229.237.97|4
185.66.200.223|4
